A	B	lab
s.2	1	0	lab1
s.4	1	0	lab1
s.5	1	0	lab1
s.6	1	0	lab1
s.7	1	0	lab1
s.9	1	0	lab1
s.10	1	0	lab1
s.13	1	0	lab1
s.20	1	0	lab1
s.23	1	0	lab1
s.24	1	0	lab1
s.25	1	0	lab1
s.26	1	0	lab1
s.27	1	0	lab1
s.28	1	0	lab1
s.36	1	0	lab1
s.40	1	0	lab1
s.43	1	0	lab1
s.46	1	0	lab1
s.47	1	0	lab1
s.48	1	0	lab1
s.52	1	0	lab1
s.57	1	0	lab1
s.62	1	0	lab1
s.65	1	0	lab1
s.66	1	0	lab1
s.68	1	0	lab1
s.70	1	0	lab1
s.74	1	0	lab1
s.77	1	0	lab1
s.87	1	0	lab1
s.97	1	0	lab1
s.98	1	0	lab1
s.102	1	0	lab1
s.104	1	0	lab1
s.106	1	0	lab1
s.116	1	0	lab1
s.119	1	0	lab1
s.120	1	0	lab1
s.125	1	0	lab1
s.126	1	0	lab1
s.131	1	0	lab1
s.133	1	0	lab1
s.137	1	0	lab1
s.142	1	0	lab1
s.143	1	0	lab1
s.144	1	0	lab1
s.145	1	0	lab1
s.147	1	0	lab1
s.154	1	0	lab1
s.155	1	0	lab1
s.156	1	0	lab1
s.158	1	0	lab1
s.160	1	0	lab1
s.163	1	0	lab1
s.165	1	0	lab1
s.169	1	0	lab1
s.175	1	0	lab1
s.176	1	0	lab1
s.177	1	0	lab1
s.180	1	0	lab1
s.184	1	0	lab1
s.186	1	0	lab1
s.187	1	0	lab1
s.188	1	0	lab1
s.191	1	0	lab1
s.195	1	0	lab1
s.205	1	0	lab1
s.206	1	0	lab1
s.207	1	0	lab1
s.208	1	0	lab1
s.209	1	0	lab1
s.210	1	0	lab1
s.211	1	0	lab1
s.213	1	0	lab1
s.219	1	0	lab1
s.224	1	0	lab1
s.225	1	0	lab1
s.230	1	0	lab1
s.236	1	0	lab1
s.244	1	0	lab1
s.247	1	0	lab1
s.249	1	0	lab1
s.250	1	0	lab1
s.253	1	0	lab1
s.257	1	0	lab1
s.261	1	0	lab1
s.264	1	0	lab1
s.266	1	0	lab1
s.273	1	0	lab1
s.275	1	0	lab1
s.277	1	0	lab1
s.281	1	0	lab1
s.284	1	0	lab1
s.285	1	0	lab1
s.290	1	0	lab1
s.294	1	0	lab1
s.295	1	0	lab1
s.298	1	0	lab1
s.299	1	0	lab1
s.305	0	1	lab1
s.307	0	1	lab1
s.312	0	1	lab1
s.313	0	1	lab1
s.314	0	1	lab1
s.315	0	1	lab1
s.316	0	1	lab1
s.318	0	1	lab1
s.319	0	1	lab1
s.325	0	1	lab1
s.326	0	1	lab1
s.333	0	1	lab1
s.335	0	1	lab1
s.337	0	1	lab1
s.338	0	1	lab1
s.340	0	1	lab1
s.341	0	1	lab1
s.345	0	1	lab1
s.349	0	1	lab1
s.350	0	1	lab1
s.352	0	1	lab1
s.353	0	1	lab1
s.354	0	1	lab1
s.357	0	1	lab1
s.358	0	1	lab1
s.360	0	1	lab1
s.363	0	1	lab1
s.364	0	1	lab1
s.368	0	1	lab1
s.371	0	1	lab1
s.374	0	1	lab1
s.375	0	1	lab1
s.377	0	1	lab1
s.380	0	1	lab1
s.383	0	1	lab1
s.388	0	1	lab1
s.393	0	1	lab1
s.397	0	1	lab1
s.399	0	1	lab1
s.402	0	1	lab1
s.403	0	1	lab1
s.404	0	1	lab1
s.408	0	1	lab1
s.411	0	1	lab1
s.414	0	1	lab1
s.417	0	1	lab1
s.420	0	1	lab1
s.425	0	1	lab1
s.429	0	1	lab1
s.433	0	1	lab1
s.435	0	1	lab1
s.437	0	1	lab1
s.443	0	1	lab1
s.448	0	1	lab1
s.451	0	1	lab1
s.456	0	1	lab1
s.457	0	1	lab1
s.461	0	1	lab1
s.462	0	1	lab1
s.465	0	1	lab1
s.466	0	1	lab1
s.469	0	1	lab1
s.471	0	1	lab1
s.474	0	1	lab1
s.479	0	1	lab1
s.484	0	1	lab1
s.485	0	1	lab1
s.490	0	1	lab1
s.500	0	1	lab1
s.509	0	1	lab1
s.512	0	1	lab1
s.519	0	1	lab1
s.522	0	1	lab1
s.527	0	1	lab1
s.534	0	1	lab1
s.535	0	1	lab1
s.537	0	1	lab1
s.540	0	1	lab1
s.543	0	1	lab1
s.544	0	1	lab1
s.546	0	1	lab1
s.549	0	1	lab1
s.555	0	1	lab1
s.557	0	1	lab1
s.559	0	1	lab1
s.563	0	1	lab1
s.565	0	1	lab1
s.566	0	1	lab1
s.569	0	1	lab1
s.572	0	1	lab1
s.574	0	1	lab1
s.576	0	1	lab1
s.582	0	1	lab1
s.584	0	1	lab1
s.587	0	1	lab1
s.588	0	1	lab1
s.590	0	1	lab1
s.595	0	1	lab1
s.596	0	1	lab1
s.597	0	1	lab1
s.1	1	0	lab2
s.3	1	0	lab2
s.12	1	0	lab2
s.15	1	0	lab2
s.19	1	0	lab2
s.21	1	0	lab2
s.22	1	0	lab2
s.29	1	0	lab2
s.31	1	0	lab2
s.32	1	0	lab2
s.33	1	0	lab2
s.37	1	0	lab2
s.38	1	0	lab2
s.50	1	0	lab2
s.54	1	0	lab2
s.58	1	0	lab2
s.60	1	0	lab2
s.63	1	0	lab2
s.69	1	0	lab2
s.71	1	0	lab2
s.72	1	0	lab2
s.73	1	0	lab2
s.75	1	0	lab2
s.76	1	0	lab2
s.78	1	0	lab2
s.80	1	0	lab2
s.81	1	0	lab2
s.82	1	0	lab2
s.83	1	0	lab2
s.84	1	0	lab2
s.88	1	0	lab2
s.89	1	0	lab2
s.90	1	0	lab2
s.91	1	0	lab2
s.92	1	0	lab2
s.94	1	0	lab2
s.99	1	0	lab2
s.101	1	0	lab2
s.103	1	0	lab2
s.105	1	0	lab2
s.109	1	0	lab2
s.111	1	0	lab2
s.115	1	0	lab2
s.117	1	0	lab2
s.122	1	0	lab2
s.124	1	0	lab2
s.132	1	0	lab2
s.140	1	0	lab2
