data_name,data_preprocessing_name,metric_name,metric_value,predicted_client_name,cross_validation_method,seed,predicted_target,learning_type
Balanced Simulated,uncorrected,MCC,1.0,All,Train-Test-Split,42,condition,federated
Balanced Simulated,uncorrected,F1_score,1.0,All,Train-Test-Split,42,condition,federated
Balanced Simulated,uncorrected,MCC,1.0,lab1,Train-Test-Split,42,condition,federated
Balanced Simulated,uncorrected,F1_score,1.0,lab1,Train-Test-Split,42,condition,federated
Balanced Simulated,uncorrected,MCC,1.0,lab2,Train-Test-Split,42,condition,federated
Balanced Simulated,uncorrected,F1_score,1.0,lab2,Train-Test-Split,42,condition,federated
Balanced Simulated,uncorrected,MCC,1.0,lab3,Train-Test-Split,42,condition,federated
Balanced Simulated,uncorrected,F1_score,1.0,lab3,Train-Test-Split,42,condition,federated
Balanced Simulated,uncorrected,MCC,1.0,All,Train-Test-Split,42,condition,centralized
Balanced Simulated,uncorrected,F1_score,1.0,All,Train-Test-Split,42,condition,centralized
Balanced Simulated,corrected,MCC,1.0,All,Train-Test-Split,42,condition,federated
Balanced Simulated,corrected,F1_score,1.0,All,Train-Test-Split,42,condition,federated
Balanced Simulated,corrected,MCC,1.0,lab1,Train-Test-Split,42,condition,federated
Balanced Simulated,corrected,F1_score,1.0,lab1,Train-Test-Split,42,condition,federated
Balanced Simulated,corrected,MCC,1.0,lab2,Train-Test-Split,42,condition,federated
Balanced Simulated,corrected,F1_score,1.0,lab2,Train-Test-Split,42,condition,federated
Balanced Simulated,corrected,MCC,1.0,lab3,Train-Test-Split,42,condition,federated
Balanced Simulated,corrected,F1_score,1.0,lab3,Train-Test-Split,42,condition,federated
Balanced Simulated,corrected,MCC,1.0,All,Train-Test-Split,42,condition,centralized
Balanced Simulated,corrected,F1_score,1.0,All,Train-Test-Split,42,condition,centralized
Mildly Imbalanced Simulated,uncorrected,MCC,1.0,All,Train-Test-Split,42,condition,federated
Mildly Imbalanced Simulated,uncorrected,F1_score,1.0,All,Train-Test-Split,42,condition,federated
Mildly Imbalanced Simulated,uncorrected,MCC,1.0,lab1,Train-Test-Split,42,condition,federated
Mildly Imbalanced Simulated,uncorrected,F1_score,1.0,lab1,Train-Test-Split,42,condition,federated
Mildly Imbalanced Simulated,uncorrected,MCC,1.0,lab2,Train-Test-Split,42,condition,federated
Mildly Imbalanced Simulated,uncorrected,F1_score,1.0,lab2,Train-Test-Split,42,condition,federated
Mildly Imbalanced Simulated,uncorrected,MCC,1.0,lab3,Train-Test-Split,42,condition,federated
Mildly Imbalanced Simulated,uncorrected,F1_score,1.0,lab3,Train-Test-Split,42,condition,federated
Mildly Imbalanced Simulated,uncorrected,MCC,1.0,All,Train-Test-Split,42,condition,centralized
Mildly Imbalanced Simulated,uncorrected,F1_score,1.0,All,Train-Test-Split,42,condition,centralized
Mildly Imbalanced Simulated,corrected,MCC,1.0,All,Train-Test-Split,42,condition,federated
Mildly Imbalanced Simulated,corrected,F1_score,1.0,All,Train-Test-Split,42,condition,federated
Mildly Imbalanced Simulated,corrected,MCC,1.0,lab1,Train-Test-Split,42,condition,federated
Mildly Imbalanced Simulated,corrected,F1_score,1.0,lab1,Train-Test-Split,42,condition,federated
Mildly Imbalanced Simulated,corrected,MCC,1.0,lab2,Train-Test-Split,42,condition,federated
Mildly Imbalanced Simulated,corrected,F1_score,1.0,lab2,Train-Test-Split,42,condition,federated
Mildly Imbalanced Simulated,corrected,MCC,1.0,lab3,Train-Test-Split,42,condition,federated
Mildly Imbalanced Simulated,corrected,F1_score,1.0,lab3,Train-Test-Split,42,condition,federated
Mildly Imbalanced Simulated,corrected,MCC,1.0,All,Train-Test-Split,42,condition,centralized
Mildly Imbalanced Simulated,corrected,F1_score,1.0,All,Train-Test-Split,42,condition,centralized
Strongly Imbalanced Simulated,uncorrected,MCC,1.0,All,Train-Test-Split,42,condition,federated
Strongly Imbalanced Simulated,uncorrected,F1_score,1.0,All,Train-Test-Split,42,condition,federated
Strongly Imbalanced Simulated,uncorrected,MCC,1.0,lab1,Train-Test-Split,42,condition,federated
Strongly Imbalanced Simulated,uncorrected,F1_score,1.0,lab1,Train-Test-Split,42,condition,federated
Strongly Imbalanced Simulated,uncorrected,MCC,1.0,lab2,Train-Test-Split,42,condition,federated
Strongly Imbalanced Simulated,uncorrected,F1_score,1.0,lab2,Train-Test-Split,42,condition,federated
Strongly Imbalanced Simulated,uncorrected,MCC,1.0,lab3,Train-Test-Split,42,condition,federated
Strongly Imbalanced Simulated,uncorrected,F1_score,1.0,lab3,Train-Test-Split,42,condition,federated
Strongly Imbalanced Simulated,uncorrected,MCC,1.0,All,Train-Test-Split,42,condition,centralized
Strongly Imbalanced Simulated,uncorrected,F1_score,1.0,All,Train-Test-Split,42,condition,centralized
Strongly Imbalanced Simulated,corrected,MCC,1.0,All,Train-Test-Split,42,condition,federated
Strongly Imbalanced Simulated,corrected,F1_score,1.0,All,Train-Test-Split,42,condition,federated
Strongly Imbalanced Simulated,corrected,MCC,1.0,lab1,Train-Test-Split,42,condition,federated
